team,mean_elo,year
Nuggets,1476.2833341176467,1987
Nuggets,1551.1181903225809,1988
Nuggets,1529.7201423529414,1989
Nuggets,1494.7956294117648,1990
Nuggets,1331.365819512195,1991
Nuggets,1332.7676365853658,1992
Nuggets,1386.9826243902442,1993
Nuggets,1515.5640191489358,1994
Nuggets,1531.5675505882355,1995
Nuggets,1469.251375609756,1996
Nuggets,1361.8408865853658,1997
Nuggets,1225.1040353658536,1998
Nuggets,1295.301208,1999
Nuggets,1406.1286987804879,2000
Nuggets,1468.6875390243904,2001
Nuggets,1412.6297987804878,2002
Nuggets,1336.3920756097561,2003
Nuggets,1482.3158091954022,2004
Nuggets,1525.74478045977,2005
Nuggets,1532.5354425287353,2006
Nuggets,1516.0882827586208,2007
Nuggets,1575.7037906976745,2008
Nuggets,1605.67382244898,2009
Nuggets,1626.1860170454545,2010
Nuggets,1587.60818045977,2011
Nuggets,1581.9706534246575,2012
Nuggets,1622.2079159090908,2013
Nuggets,1514.0941134146342,2014
Nuggets,1447.915806097561,2015
Mavericks,,1976
Mavericks,,1977
Mavericks,,1978
Mavericks,,1979
Mavericks,,1980
Mavericks,1240.4097524390243,1981
Mavericks,1338.243474390244,1982
Mavericks,1462.7265902439024,1983
Mavericks,1498.3755510869566,1984
Mavericks,1523.1990720930232,1985
Mavericks,1524.2487510869566,1986
Mavericks,1606.8414732558142,1987
Mavericks,1591.9426747474747,1988
Mavericks,1492.9972158536586,1989
Mavericks,1473.1135141176471,1990
Mavericks,1420.6428243902437,1991
Mavericks,1326.5214536585368,1992
Mavericks,1187.3043402439025,1993
Mavericks,1221.5809731707316,1994
Mavericks,1400.6224731707316,1995
Mavericks,1392.8275914634146,1996
Mavericks,1345.3295670731707,1997
Mavericks,1314.5713024390245,1998
Mavericks,1373.153966,1999
Mavericks,1456.9267926829266,2000
Mavericks,1583.7888010869565,2001
Mavericks,1618.0213577777774,2002
Mavericks,1690.3159294117647,2003
Mavericks,1617.0567068965515,2004
Mavericks,1630.7071031578948,2005
Mavericks,1677.1008685714285,2006
Mavericks,1695.088325,2007
Mavericks,1617.963342528735,2008
Mavericks,1571.6329510869562,2009
Mavericks,1601.472668181818,2010
Mavericks,1635.1747349514565,2011
Mavericks,1591.2576157142857,2012
Mavericks,1494.8288231707318,2013
