team,mean_elo,year,Conference
Celtics,1646.746497,2008,East
Celtics,1702.122708,2009,East
Celtics,1620.729128,2010,East
Celtics,1660.339218,2011,East
Celtics,1575.956173,2012,East
Celtics,1527.482177,2013,East
Celtics,1419.620207,2014,East
Celtics,1425.519428,2015,East
Warriors,,1976,West
Warriors,1556.318678,1977,West
Warriors,1521.751535,1978,West
Warriors,1516.580137,1979,West
Warriors,1428.819457,1980,West
Warriors,1472.95942,1981,West
Warriors,1510.163452,1982,West
Warriors,1443.94533,1983,West
Warriors,1431.921167,1984,West
Warriors,1358.244329,1985,West
Warriors,1389.386121,1986,West
Warriors,1466.500891,1987,West
Warriors,1372.593704,1988,West
Warriors,1455.644247,1989,West
Warriors,1446.529423,1990,West
Warriors,1498.122036,1991,West
Warriors,1581.071177,1992,West
Warriors,1500.403387,1993,West
Warriors,1507.466192,1994,West
Warriors,1435.979033,1995,West
Warriors,1435.021007,1996,West
Warriors,1408.468828,1997,West
Warriors,1299.045004,1998,West
Warriors,1389.805034,1999,West
Warriors,1354.159604,2000,West
Warriors,1326.936695,2001,West
Warriors,1331.543804,2002,West
Warriors,1439.033482,2003,West
Warriors,1474.607626,2004,West
Warriors,1428.457785,2005,West
Warriors,1478.940004,2006,West
Warriors,1491.548144,2007,West
Warriors,1585.928845,2008,West
Warriors,1453.114605,2009,West
Warriors,1390.661835,2010,West
Warriors,1431.669861,2011,West
Warriors,1453.522577,2012,West
Warriors,1520.038988,2013,West
Warriors,1603.997369,2014,West
Warriors,1725.574764,2015,West
Trailblazers,,1976,West
Trailblazers,1566.929934,1977,West
Trailblazers,1671.745787,1978,West
Trailblazers,1524.110284,1979,West
Trailblazers,1530.487909,1980,West
Trailblazers,1495.466239,1981,West
Trailblazers,1516.554916,1982,West
Trailblazers,1529.580776,1983,West
Trailblazers,1563.241687,1984,West
Trailblazers,1533.949052,1985,West
Trailblazers,1528.492303,1986,West
Trailblazers,1546.256759,1987,West
Trailblazers,1568.262328,1988,West
Trailblazers,1524.300901,1989,West
Trailblazers,1595.714878,1990,West
Trailblazers,1671.129512,1991,West
Trailblazers,1655.321586,1992,West
Trailblazers,1597.889115,1993,West
Trailblazers,1563.448706,1994,West
Trailblazers,1565.885349,1995,West
Trailblazers,1513.267711,1996,West
Trailblazers,1547.824316,1997,West
Trailblazers,1548.43819,1998,West
Trailblazers,1586.798513,1999,West
Trailblazers,1651.631208,2000,West
Trailblazers,1629.868542,2001,West
Trailblazers,1564.271733,2002,West
Trailblazers,1587.058151,2003,West
Trailblazers,1517.672837,2004,West
Trailblazers,1448.270139,2005,West
Trailblazers,1351.862134,2006,West
Trailblazers,1384.58362,2007,West
Trailblazers,1478.443976,2008,West
Trailblazers,1569.318342,2009,West
Trailblazers,1579.263576,2010,West
Trailblazers,1544.38404,2011,West
Trailblazers,1521.553659,2012,West
Trailblazers,1459.242605,2013,West
Trailblazers,1579.064246,2014,West
Trailblazers,1616.898675,2015,West
Knicks,,1976,East
Knicks,1493.831679,1977,East
Knicks,1511.860083,1978,East
Knicks,1462.537241,1979,East
Knicks,1456.637485,1980,East
Knicks,1537.362871,1981,East
Knicks,1484.193732,1982,East
Knicks,1503.49435,1983,East
Knicks,1592.892203,1984,East
Knicks,1432.298994,1985,East
Knicks,1370.21157,1986,East
Knicks,1371.833713,1987,East
Knicks,1436.197441,1988,East
Knicks,1576.130007,1989,East
Knicks,1538.052221,1990,East
Knicks,1473.288793,1991,East
Knicks,1556.141501,1992,East
Knicks,1640.62438,1993,East
Knicks,1654.575312,1994,East
Knicks,1610.851373,1995,East
Knicks,1567.4813,1996,East
Knicks,1590.40155,1997,East
